name,island,site_score,iconic_species_score,biodiversity_score,striking_vistas_score,snorkel_quality_score,beach_quality_score,landing,difficulty,wildlife_sightings,description,image_url
"Española Island, Punta Suarez",Española,90,94,93,84,,,,,"Galapagos hawk,Giant opuntia cactus forest,Mockingbirds,Nazca booby,Red-billed tropicbirds,Sea lions,Waved albatross",A wet landing onto a beach with Sea Lions and colourful Marine Iguanas leads on to a 2km trail through Masked and Blue-Footed Booby colonies (be careful not to step on them!) to some magnificent cliffs with a blow-hole. Beyond here is the Galapagos' only Waved Albatross colony (Apr-Dec) - watch their somewhat clumsy attempts to take-off and land. Other animals including the Large cactus finch and Galapagos Hawk may also be seen.,https://www.galapagosadvisor.com/media/1182/esp-pta-suarez.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"Fernandina Island, Punta Espinoza",Fernandina,90,94,93,91,83,,Dry,Moderate,"Flightless cormorant,Galapagos hawk,Galapagos penguin,Sea lions","Only a few hundred thousand years old, and free of invasive species, this is likely the most pristine island you'll see in your lifetime. Its central volcano dominates the landscape, spreading lava fields all the way to the shore. The island's highlight features the flightless cormorant nesting site, ""marine iguana city"", penguins and if you're lucky, the Galapagos hawk. Landing: Dry. Difficulty: Moderate.",https://www.galapagosadvisor.com/media/1181/fern-pta-esp.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312710000000
"Isabela, Punta Vicente Roca",Isabela,86,82,86,88,90,,None:,Easy,"Rays,Red-billed tropicbirds,Sea lions,Sea turtles","Here, the remnants of an ancient volcano form two turquoise coves with a bay that is well protected from ocean swells. This is a popular anchorage from which to take panga rides along the cliffs or to explore a partially sunken cave at the water’s edge. Blue-footed and Nazca boobies perch along the sheer walls, while flightless cormorants inhabit the shoreline. One of the top rated snorkeling spots in Galapagos. Landing: None: Difficulty: Easy.",https://www.galapagosadvisor.com/media/1164/isa-punta-v-roca.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Genovesa Island, Prince Phillip's Steps",Genovesa,84,88,87,86,76,,Dry (with slippery rocks),Moderate,"Fur seals,Nazca booby,Red-footed booby","This site is notable for its variety and abundance of birdlife including red-footed and Nazca boobies, short-eared owls, red-billed tropicbirds, Galápagos swallows and Galápagos doves. Upon landing on a steep rocky stairway, visitors are treated to the site of small fur seal colony and a variety of marine life clinging to the rocks. There are great views of lava plains near the end of the trail. Landing: Dry (with slippery rocks). Difficulty: Moderate.","https://www.galapagosadvisor.com/media/1097/steps.jpg?crop=0.000760767790262129,0,0,0&cropmode=percentage&width=400&height=267&rnd=131867312720000000"
North Seymour Island,North Seymour,83,89,87,70,87,,Dry,Easy,"Land Iguana,Nazca booby","From the small dock, the trail leads along the coast — past an area where marine iguanas nest — and then loops into the palo santo forest by the nests of frigatebirds and boobies. The frigatebirds rely on the fishing success of the blue-footed boobies for their survival, stealing their catches. Landing: Dry. Difficulty: Easy",https://www.galapagosadvisor.com/media/1159/north-seymour.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Floreana Island, Champion islet",Floreana,80,78,78,69,96,,,,,"Located just offshore of Floreana island, Champion is considered as one of the most beautiful places on Galapagos for all snorkeling and scuba fans, and an excellent opportunity for dolphin watching. It impresses already with its great diversity of iconic species such as penguins and blue footed boobies, flamingos, pintail ducks and frigates. It is also one of the two last habitats of the Floreana mockingbird.",https://www.galapagosadvisor.com/media/1178/flor-champion.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Floreana Island, Devil's Crown",Floreana,80,73,80,77,91,,None,Moderate,"Rays,Sea lions,Sea turtles,Sharks","This volcanic crater is a perfect environment for coral, which attracts other marine life; making this one of the best snorkeling sites in the Galápagos. You may see sea lions, sharks, rays, tropical fish, eels and sea turtles. The outside of the crown is a haven for birds including boobies, pelicans, frigatebirds, and red-billed tropicbirds. Type of Landing: None. Difficulty: Moderate/difficult",https://www.galapagosadvisor.com/media/1177/flor-devils.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
"Española Island, Gardner Bay",Española,79,71,62,88,76,98,,,"Mockingbirds,Sea lions","A wonderful white sand beach with a myriad of sea lions, perfect for relaxing. Famous for the Española mockingbirds, which like to pick at your laces. Great beach relaxation and swimming.","https://www.galapagosadvisor.com/media/1104/espanola-gardner-bay.jpg?crop=0,0.18928571428571428,0,0.33392857142857141&cropmode=percentage&width=400&height=267&rnd=131867312710000000"
"Marchena Island, Punta Mejia",Marchena,78,60,85,75,94,,,,"Rays,Sea turtles,Sharks","This rarely visited site is one of the best in the archipelago to snorkel. The calm and clear deep blue water of the north west coast, and the rugged topography of the location give the sensation of witnessing the beginning of our planet and its underwater world. Apart from great fish diversity, when we snorkel we often see rays, reef sharks and sea turtles.",https://www.galapagosadvisor.com/media/1162/marchena-pta-mejia.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312720000000
Santa Fe Island,Santa Fe,78,81,69,83,80,77,Dry,Moderate,"Giant opuntia cactus forest,Sea lions","A visit begins with a wet landing on a small beach. The beaches here are popular with sea lions, which can often be seen surfing the waves. There are two visitor trails here; one leading to a scenic viewpoint atop a cliff, and the other wending through a forest of massive Santa Fe opuntia cactus. Snorkeling in the radiant blue-green waters is excellent, and you may see a Galápagos green turtle gracefully swim by. Landing: Dry. Difficulty: Moderate.",https://www.galapagosadvisor.com/media/1128/sta-fe.jpg?anchor=center&mode=crop&width=400&height=267&rnd=131867312730000000
